;aagun;nugaa;kamee
;aahuuh;huuhaa;pii
;aajav;vajaa;vapaa
;aajrak;karjaa;vapaa
;aaka;akaa;vapaa
;aakkiov;voikkaa;vapaa
;aakknam;mankkaa;vapaa
;aakual;laukaa;pii
;aakuoj;joukaa;pii
;aalkus;suklaa;vapaa
;aalluk;kullaa;vapaa
;aaloum;muolaa;pii
;aam;maa;pii
;aam-nääknenek-ie;ei-kenenkään-maa;pii
;aamakuoj;joukamaa;pii
;aamhev;vehmaa;vapaa
;aamias;saimaa;vapaa
;aamiol;loimaa;vapaa
;aamrah;harmaa;vapaa
;aam|anuol;louna|maa;pii
;aam|etlap;palte|maa;pii
;aam|nonnil;linnon|maa;pii
;aanaak;kaanaa;vapaa
;aaniav;vainaa;vapaa
;aapav;vapaa;vapaa
;aarruh;hurraa;poikkeava
;aatnav;vantaa;vapaa
;aatsuk;kustaa;vapaa
;aattipuk;kupittaa;pii
;abaak;kaaba;kala
;abaks;skaba;kala
;abba;abba;kala
;abe;eba;kala
;abednaj;jandeba;kala
;abeht;theba;kala
;abema;ameba;kala
;abif;fiba;kala
;abik;kiba;kala
;abla;alba;kala
;abmag;gamba;kala
;abmam;mamba;kala
;abmas;samba;kala
;abmiks;skimba;kala
;abmiram;marimba;kala
;abmur;rumba;koira
;abotinam;manitoba;koira
;abura;aruba;kala
;aburoj;joruba;kulkija
;abuuk;kuuba;koira
;abuut;tuuba;koira
;acceber;rebecca;kala
;acerof;foreca;kala
;acidolem;melodica;kala
;acinaj;janica;kala
;acinimod;dominica;kala
;acinom;monica;kala
;acinorev;veronica;kala
;acirtemonoce;econometrica;kulkija
;acrollam;mallorca;kala
;acul;luca;koira
;ada;ada;kala
;adaa;aada;kala
;adabmal;lambada;kala
;adad;dada;kala
;adal;lada;kala
;adalf;flada;kala
;adamra;armada;kala
;adanak;kanada;kala
;adanerg;grenada;kala
;adarp;prada;kala
;adaven;nevada;kala
;adbmal;lambda;kala
;addeh;hedda;kala
;addev;vedda;kala
;adelf;fleda;kala
;ademordna;andromeda;kala
;aderb;breda;kala
;adev;veda;kala
;adevruya;ayurveda;kulkija
;adi;ida;kala
;adiaq;qaida;kala
;adieks;skeida;kala
;adii;iida;kala
;adirf;frida;kala
;adirolf;florida;kala
;adivkil;likvida;karahka
